elapsed_time_s,speed_mps
3.969,1.4155
3.975,1.4151
3.979,1.4146
3.984,1.4142
3.989,1.4137
3.995,1.4132
3.999,1.4127
4.004,1.4122
4.009,1.4116
4.014,1.4111
4.019,1.4104
4.024,1.4099
4.029,1.4092
4.034,1.4086
4.039,1.4078
4.044,1.4072
4.049,1.4064
4.054,1.4057
4.059,1.4049
4.064,1.4041
4.069,1.4032
4.074,1.4024
4.079,1.4015
4.084,1.4006
4.089,1.3996
4.095,1.3987
4.099,1.3976
4.104,1.3965
4.109,1.3953
4.114,1.3941
4.119,1.3928
4.124,1.3915
4.129,1.3901
4.134,1.3887
4.139,1.3871
4.144,1.3855
4.149,1.3838
4.154,1.3821
4.159,1.3802
4.164,1.3783
4.169,1.3763
4.174,1.3743
4.179,1.3720
4.184,1.3698
4.189,1.3674
4.194,1.3650
4.199,1.3625
4.204,1.3599
4.209,1.3571
4.214,1.3543
4.219,1.3513
4.224,1.3483
4.229,1.3451
4.234,1.3419
4.239,1.3385
4.244,1.3351
4.249,1.3315
4.254,1.3279
4.259,1.3240
4.264,1.3202
4.269,1.3161
4.274,1.3120
4.279,1.3078
4.284,1.3035
4.289,1.2989
4.294,1.2944
4.299,1.2897
4.304,1.2849
4.309,1.2799
4.314,1.2749
4.319,1.2697
4.324,1.2645
4.329,1.2590
4.334,1.2535
4.339,1.2479
4.344,1.2422
4.349,1.2362
4.354,1.2303
4.359,1.2241
4.364,1.2180
4.369,1.2116
4.374,1.2051
4.379,1.1985
4.384,1.1919
4.389,1.1851
4.394,1.1782
4.399,1.1711
4.404,1.1640
4.409,1.1567
4.414,1.1494
4.419,1.1418
4.424,1.1343
4.429,1.1266
4.434,1.1189
4.439,1.1109
4.444,1.1030
4.449,1.0949
4.454,1.0867
4.459,1.0783
4.464,1.0700
4.470,1.0614
4.474,1.0529
4.479,1.0443
4.484,1.0355
4.489,1.0267
4.494,1.0178
4.499,1.0088
4.504,0.9997
4.509,0.9905
4.514,0.9813
4.519,0.9720
4.524,0.9626
4.529,0.9531
4.534,0.9436
4.539,0.9340
4.544,0.9245
4.549,0.9148
4.554,0.9051
4.559,0.8953
4.564,0.8855
4.569,0.8757
4.574,0.8658
4.579,0.8559
4.584,0.8459
4.589,0.8360
4.594,0.8261
4.599,0.8161
4.604,0.8062
4.609,0.7961
4.614,0.7861
4.619,0.7762
4.625,0.7662
4.629,0.7563
4.634,0.7464
4.639,0.7365
4.644,0.7267
4.649,0.7169
4.654,0.7072
4.659,0.6976
4.664,0.6880
4.669,0.6785
4.674,0.6691
4.679,0.6598
4.684,0.6506
4.689,0.6415
4.694,0.6325
4.699,0.6237
4.704,0.6150
4.709,0.6065
4.714,0.5981
4.719,0.5900
4.724,0.5819
4.729,0.5743
4.734,0.5667
4.739,0.5594
4.744,0.5522
4.749,0.5454
4.754,0.5388
4.759,0.5325
4.764,0.5265
4.769,0.5208
4.774,0.5154
4.779,0.5104
4.784,0.5056
4.789,0.5013
4.795,0.4973
4.799,0.4938
4.804,0.4905
4.809,0.4877
4.814,0.4852
