elapsed_time_s,tracking_error_m
4.714,0.0049
4.719,0.0045
4.724,0.0050
4.729,0.0046
4.734,0.0049
4.739,0.0046
4.744,0.0049
4.749,0.0047
4.754,0.0049
4.759,0.0048
4.764,0.0049
4.769,0.0049
4.774,0.0049
4.779,0.0050
4.784,0.0049
4.789,0.0050
4.795,0.0049
4.799,0.0051
4.804,0.0048
4.809,0.0052
4.814,0.0048
4.819,0.0053
4.824,0.0048
4.829,0.0053
4.834,0.0047
4.839,0.0054
4.844,0.0047
4.849,0.0055
4.854,0.0047
4.859,0.0055
4.864,0.0046
4.869,0.0056
4.874,0.0046
4.880,0.0056
4.885,0.0045
4.889,0.0057
4.894,0.0045
4.899,0.0057
4.904,0.0044
4.909,0.0057
4.914,0.0043
4.919,0.0058
4.924,0.0043
4.929,0.0058
4.934,0.0042
4.939,0.0058
4.944,0.0041
4.950,0.0058
4.955,0.0040
4.959,0.0058
4.964,0.0040
4.969,0.0058
4.974,0.0039
4.979,0.0058
4.984,0.0038
4.990,0.0058
4.994,0.0037
4.999,0.0057
5.004,0.0036
5.009,0.0057
5.014,0.0036
5.019,0.0057
5.024,0.0035
5.030,0.0056
5.034,0.0034
5.039,0.0056
5.044,0.0033
5.049,0.0055
5.054,0.0032
5.059,0.0054
5.064,0.0031
5.069,0.0054
5.074,0.0030
5.079,0.0053
5.084,0.0029
5.089,0.0052
5.094,0.0029
5.099,0.0051
5.104,0.0028
5.109,0.0051
5.114,0.0027
5.119,0.0050
5.124,0.0026
5.129,0.0049
5.135,0.0025
5.139,0.0048
5.144,0.0024
5.149,0.0047
5.154,0.0024
5.159,0.0046
5.164,0.0023
5.170,0.0045
5.174,0.0022
5.179,0.0044
5.184,0.0022
5.189,0.0043
5.194,0.0021
5.199,0.0042
5.204,0.0020
5.209,0.0041
5.214,0.0020
5.219,0.0040
5.224,0.0020
5.229,0.0039
5.234,0.0019
5.239,0.0038
5.244,0.0019
5.249,0.0037
5.254,0.0018
5.259,0.0036
5.264,0.0018
5.269,0.0035
5.274,0.0018
5.279,0.0034
5.284,0.0018
5.289,0.0034
5.294,0.0018
5.299,0.0033
5.304,0.0018
5.309,0.0033
5.314,0.0018
5.320,0.0032
5.324,0.0019
5.329,0.0032
5.334,0.0019
5.340,0.0032
5.344,0.0019
5.349,0.0032
5.354,0.0019
5.359,0.0032
5.364,0.0020
5.369,0.0033
5.374,0.0020
5.379,0.0033
5.384,0.0020
5.389,0.0034
5.394,0.0021
5.400,0.0034
5.404,0.0021
5.409,0.0035
5.414,0.0022
5.419,0.0036
5.424,0.0022
5.429,0.0037
5.434,0.0023
5.439,0.0038
5.445,0.0023
5.449,0.0039
5.454,0.0024
5.460,0.0040
5.465,0.0024
5.469,0.0042
5.474,0.0025
5.480,0.0043
5.484,0.0025
5.489,0.0045
5.495,0.0025
5.500,0.0046
5.504,0.0026
5.509,0.0048
5.514,0.0026
5.519,0.0050
5.524,0.0027
5.529,0.0051
5.534,0.0027
5.539,0.0053
5.544,0.0028
5.549,0.0054
5.554,0.0028
5.559,0.0056
5.564,0.0028
5.569,0.0058
5.574,0.0028
5.579,0.0059
5.584,0.0029
5.589,0.0061
5.594,0.0029
5.599,0.0063
5.604,0.0029
5.609,0.0065
5.615,0.0030
5.619,0.0066
5.624,0.0030
5.629,0.0068
5.635,0.0029
5.639,0.0070
5.644,0.0030
5.649,0.0071
5.654,0.0030
5.659,0.0073
5.664,0.0031
5.669,0.0075
5.674,0.0031
5.679,0.0077
5.684,0.0031
5.689,0.0078
5.694,0.0030
5.699,0.0080
5.704,0.0031
5.709,0.0082
5.714,0.0031
5.719,0.0083
5.724,0.0031
5.729,0.0085
